,init_desired_speed,Run,Flow / Desired Velocity,width,height,population,vision,max_speed,timestep,prob_nearest
0,0.5,0,5.678413468397774,15,15,200,1,5,0.01,1
1,0.5,1,5.530081978602194,15,15,200,1,5,0.01,1
2,0.5,2,5.685714285714286,15,15,200,1,5,0.01,1
3,0.5,3,5.893676884347697,15,15,200,1,5,0.01,1
4,0.5,4,5.579699985980652,15,15,200,1,5,0.01,1
5,0.5,5,5.753939569177389,15,15,200,1,5,0.01,1
6,0.5,6,5.3408480944712835,15,15,200,1,5,0.01,1
7,0.5,7,5.379832387131658,15,15,200,1,5,0.01,1
8,0.5,8,5.735696786280444,15,15,200,1,5,0.01,1
9,0.5,9,5.386385167140344,15,15,200,1,5,0.01,1
10,1.0,10,3.305098820793888,15,15,200,1,5,0.01,1
11,1.0,11,3.37402509325195,15,15,200,1,5,0.01,1
12,1.0,12,3.6024619840695147,15,15,200,1,5,0.01,1
13,1.0,13,3.2357723577235773,15,15,200,1,5,0.01,1
14,1.0,14,3.8357748650732457,15,15,200,1,5,0.01,1
15,1.0,15,3.4566614556192463,15,15,200,1,5,0.01,1
16,1.0,16,3.6162093403598035,15,15,200,1,5,0.01,1
17,1.0,17,3.236298585135794,15,15,200,1,5,0.01,1
18,1.0,18,3.5643919039942684,15,15,200,1,5,0.01,1
19,1.0,19,3.2585557556901916,15,15,200,1,5,0.01,1
20,1.5,20,2.510249132765689,15,15,200,1,5,0.01,1
21,1.5,21,2.488122030507627,15,15,200,1,5,0.01,1
22,1.5,22,2.432911547160584,15,15,200,1,5,0.01,1
23,1.5,23,2.4857910186746612,15,15,200,1,5,0.01,1
24,1.5,24,2.584079989611739,15,15,200,1,5,0.01,1
25,1.5,25,2.4714356681569796,15,15,200,1,5,0.01,1
26,1.5,26,2.333626502491938,15,15,200,1,5,0.01,1
27,1.5,27,2.3080491765251683,15,15,200,1,5,0.01,1
28,1.5,28,2.506455066439952,15,15,200,1,5,0.01,1
29,1.5,29,2.569067906016008,15,15,200,1,5,0.01,1
30,2.0,30,1.912725874663591,15,15,200,1,5,0.01,1
31,2.0,31,1.9699069491189862,15,15,200,1,5,0.01,1
32,2.0,32,1.838167374838352,15,15,200,1,5,0.01,1
33,2.0,33,2.00645291389393,15,15,200,1,5,0.01,1
34,2.0,34,1.750527797325827,15,15,200,1,5,0.01,1
35,2.0,35,2.04018864055772,15,15,200,1,5,0.01,1
36,2.0,36,1.9286683465787942,15,15,200,1,5,0.01,1
37,2.0,37,2.0113199919142914,15,15,200,1,5,0.01,1
38,2.0,38,2.062176165803109,15,15,200,1,5,0.01,1
39,2.0,39,1.7950568284322568,15,15,200,1,5,0.01,1
40,2.5,40,1.5821904193997216,15,15,200,1,5,0.01,1
41,2.5,41,1.6954206602768902,15,15,200,1,5,0.01,1
42,2.5,42,1.4773570898292503,15,15,200,1,5,0.01,1
43,2.5,43,1.4278026905829597,15,15,200,1,5,0.01,1
44,2.5,44,1.5357900829635347,15,15,200,1,5,0.01,1
45,2.5,45,1.5513545117910739,15,15,200,1,5,0.01,1
46,2.5,46,1.5774871185097106,15,15,200,1,5,0.01,1
47,2.5,47,1.5399497001354225,15,15,200,1,5,0.01,1
48,2.5,48,1.3750215926757643,15,15,200,1,5,0.01,1
49,2.5,49,1.4900786222388618,15,15,200,1,5,0.01,1
50,3.0,50,1.1407280022929207,15,15,200,1,5,0.01,1
51,3.0,51,1.2293056585124784,15,15,200,1,5,0.01,1
52,3.0,52,1.2501570549063952,15,15,200,1,5,0.01,1
53,3.0,53,1.3145725987580923,15,15,200,1,5,0.01,1
54,3.0,54,1.233649494761639,15,15,200,1,5,0.01,1
55,3.0,55,1.2766230433666923,15,15,200,1,5,0.01,1
56,3.0,56,1.2882760406551432,15,15,200,1,5,0.01,1
57,3.0,57,1.23250340641645,15,15,200,1,5,0.01,1
58,3.0,58,1.2938040439503284,15,15,200,1,5,0.01,1
59,3.0,59,1.2461644436094934,15,15,200,1,5,0.01,1
60,3.5,60,1.102309865396333,15,15,200,1,5,0.01,1
61,3.5,61,1.0944589577890829,15,15,200,1,5,0.01,1
62,3.5,62,1.0786784833455294,15,15,200,1,5,0.01,1
63,3.5,63,1.1321613472151104,15,15,200,1,5,0.01,1
64,3.5,64,1.059384066650696,15,15,200,1,5,0.01,1
65,3.5,65,0.9938322471096461,15,15,200,1,5,0.01,1
66,3.5,66,0.9727483807894416,15,15,200,1,5,0.01,1
67,3.5,67,1.0285300806284887,15,15,200,1,5,0.01,1
68,3.5,68,1.0583980427614084,15,15,200,1,5,0.01,1
69,3.5,69,1.0631477721978844,15,15,200,1,5,0.01,1
70,4.0,70,0.8883928571428571,15,15,200,1,5,0.01,1
71,4.0,71,0.9182355112587671,15,15,200,1,5,0.01,1
72,4.0,72,0.8999638205499276,15,15,200,1,5,0.01,1
73,4.0,73,1.0136511817440914,15,15,200,1,5,0.01,1
74,4.0,74,0.8728070175438597,15,15,200,1,5,0.01,1
75,4.0,75,0.9157003497147064,15,15,200,1,5,0.01,1
76,4.0,76,0.9812623274161735,15,15,200,1,5,0.01,1
77,4.0,77,0.9413434247871334,15,15,200,1,5,0.01,1
78,4.0,78,0.8817795108117689,15,15,200,1,5,0.01,1
79,4.0,79,0.9314735068339263,15,15,200,1,5,0.01,1
80,4.5,80,0.8408865225750566,15,15,200,1,5,0.01,1
81,4.5,81,0.7820021613125061,15,15,200,1,5,0.01,1
82,4.5,82,0.8440966257343429,15,15,200,1,5,0.01,1
83,4.5,83,0.870344857748912,15,15,200,1,5,0.01,1
84,4.5,84,0.8946433789646413,15,15,200,1,5,0.01,1
85,4.5,85,0.9224493579937886,15,15,200,1,5,0.01,1
86,4.5,86,0.8353272048020819,15,15,200,1,5,0.01,1
87,4.5,87,0.8175674287709784,15,15,200,1,5,0.01,1
88,4.5,88,0.8706875806698606,15,15,200,1,5,0.01,1
89,4.5,89,0.8199929950347157,15,15,200,1,5,0.01,1
90,5.0,90,0.7830021640763328,15,15,200,1,5,0.01,1
91,5.0,91,0.7737169517884915,15,15,200,1,5,0.01,1
92,5.0,92,0.0,15,15,200,1,5,0.01,1
93,5.0,93,0.73936466654282,15,15,200,1,5,0.01,1
94,5.0,94,0.7808514812634884,15,15,200,1,5,0.01,1
95,5.0,95,0.7573739295908658,15,15,200,1,5,0.01,1
96,5.0,96,0.7749221183800623,15,15,200,1,5,0.01,1
97,5.0,97,0.746436609152288,15,15,200,1,5,0.01,1
98,5.0,98,0.7940941739824421,15,15,200,1,5,0.01,1
99,5.0,99,0.762598198888676,15,15,200,1,5,0.01,1
