,population,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time,relaxation_time,door_size
0,10.0,0,100.0,8.23,1.4729950900163666,5.083,2.15909471769999,,
1,10.0,1,100.0,9.38,1.4754098360655736,5.950000000000001,2.1189095728175324,,
2,10.0,2,100.0,8.9,1.3024602026049203,5.484,2.060044228219924,,
3,10.0,3,100.0,10.07,1.2552301255230125,6.8260000000000005,2.3106189646932274,,
4,10.0,4,100.0,9.57,1.2244897959183674,6.084999999999999,2.199460792507513,,
5,10.0,5,100.0,8.36,1.2295081967213115,4.906000000000001,2.372055835955151,,
6,10.0,6,100.0,8.48,1.5817223198594024,5.442,2.0419533132109886,,
7,10.0,7,100.0,9.08,1.2278308321964528,5.715000000000001,2.544716749136008,,
8,10.0,8,100.0,7.74,1.2096774193548387,4.189,2.3677061097657837,,
9,10.0,9,100.0,7.49,1.8181818181818181,4.997999999999999,1.6417253796607465,,
10,27.0,10,100.0,11.98,2.3614895549500456,6.06851851851852,3.057133780449745,,
11,27.0,11,100.0,13.290000000000001,2.2127659574468086,6.944814814814813,3.2645300879539607,,
12,27.0,12,100.0,12.870000000000001,2.587064676616915,7.000740740740741,2.784209494115432,,
13,27.0,13,100.0,12.530000000000001,2.4761904761904763,7.184074074074073,3.011553725314533,,
14,27.0,14,100.0,13.72,2.0392156862745097,7.190740740740741,3.408009712343878,,
15,27.0,15,100.0,12.81,2.172096908939014,6.604444444444446,3.3125418236353386,,
16,27.0,16,100.0,10.9,2.5024061597690084,5.580740740740741,3.2513475619596512,,
17,27.0,17,100.0,12.49,2.1469859620148637,6.525925925925926,3.244431038492383,,
18,27.0,18,100.0,12.5,2.4904214559386975,6.845555555555555,2.8859078472058153,,
19,27.0,19,100.0,13.1,2.3465703971119134,7.075925925925925,3.1818381954452524,,
20,44.0,20,100.0,15.31,2.9172320217096335,7.27477272727273,3.5556221374543133,,
21,44.0,21,100.0,12.67,3.547854785478548,6.388863636363637,3.1940862622571666,,
22,44.0,22,100.0,15.68,3.0824372759856633,8.142272727272728,3.6945005412736722,,
23,44.0,23,100.0,16.96,2.7301587301587302,8.084772727272727,4.1831286214297725,,
24,44.0,24,100.0,15.68,2.9351535836177476,7.662500000000002,4.1619098506156,,
25,44.0,25,100.0,14.370000000000001,3.2209737827715355,7.170227272727273,3.704869510074648,,
26,44.0,26,100.0,14.64,3.164091243561442,7.262954545454545,3.479855369585735,,
27,44.0,27,100.0,15.57,2.8215223097112863,7.323636363636364,4.131048119105836,,
28,44.0,28,100.0,15.950000000000001,2.7958387516254875,7.761363636363637,4.332627212485268,,
29,44.0,29,100.0,15.01,3.080229226361032,7.757272727272726,3.680742697827572,,
30,61.0,30,100.0,18.46,3.5398230088495577,8.978524590163936,4.274435961256789,,
31,61.0,31,100.0,16.79,3.7290242386575514,8.425409836065572,4.578509063647426,,
32,61.0,32,100.0,16.79,3.8412291933418694,8.532950819672132,4.076375982112173,,
33,61.0,33,100.0,17.88,3.4965034965034967,8.22295081967213,4.12147034615168,,
34,61.0,34,100.0,16.68,3.898635477582846,8.356229508196721,3.974584743062025,,
35,61.0,35,100.0,17.04,3.8684719535783367,8.391311475409836,3.8871585489531366,,
36,61.0,36,100.0,16.41,3.8486209108402822,8.138524590163934,4.087662264288141,,
37,61.0,37,100.0,19.2,3.278688524590164,8.900983606557379,4.584162120794462,,
38,61.0,38,100.0,16.82,3.8071065989847717,8.227704918032785,4.272394095992949,,
39,61.0,39,100.0,16.82,3.6877688998156115,7.61311475409836,4.389189956010717,,
40,78.0,40,100.0,19.56,4.1066666666666665,9.482948717948716,5.197241053555682,,
