,max_speed,vision,soc_strength,obs_strength,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time
0,4.240234375,4.48828125,1537.109375,3584.9609375,,100.0,26.62,3.787299158377965,12.090599999999997,7.318474867336663
1,3.666015625,4.05859375,1537.109375,2963.8671875,,100.0,28.86,3.433922996878252,13.8049,7.2917182155753615
2,3.666015625,4.05859375,1669.921875,3584.9609375,,100.0,27.73,3.6666666666666665,13.4817,7.137650782783485
3,3.666015625,4.48828125,1669.921875,2963.8671875,,100.0,27.82,3.7246049661399545,14.2862,7.195451815437501
4,3.916015625,2.55859375,1419.921875,3338.8671875,,100.0,27.62,3.726006774557772,13.729999999999997,7.254154504541351
5,3.916015625,2.55859375,2787.109375,3338.8671875,,100.0,23.29,4.4,10.8399,5.762907076267756
6,4.490234375,2.55859375,1419.921875,3338.8671875,,100.0,27.91,3.647752394988946,13.926400000000001,7.78510005514938
7,3.916015625,3.98828125,1419.921875,3338.8671875,,100.0,27.57,3.6940298507462686,12.9405,7.20370560857046
8,3.916015625,2.55859375,1419.921875,2459.9609375,,100.0,29.1,3.467600700525394,14.454099999999999,8.119600439863424
9,4.490234375,3.98828125,2787.109375,2459.9609375,,100.0,23.23,4.359313077939234,10.628400000000001,5.897085176233898
10,4.916015625,4.55859375,2419.921875,4838.8671875,,100.0,24.8,4.072398190045249,10.835900000000002,6.199241089916498
11,4.916015625,1.98828125,2419.921875,4838.8671875,,100.0,23.07,4.363155575143234,10.059600000000001,5.85865774264503
12,3.490234375,4.55859375,2419.921875,4838.8671875,,100.0,29.7,3.4315424610051997,12.872,7.770457651979845
13,3.490234375,1.98828125,1787.109375,3959.9609375,,100.0,26.46,3.8884524744697564,11.602099999999998,6.714770135283633
14,4.416015625,1.55859375,1919.921875,2588.8671875,,99.0,21.97,4.558139534883721,11.157070707070707,5.6014765277440794
15,4.916015625,4.55859375,2419.921875,3959.9609375,,100.0,23.34,4.392191659272405,10.7355,5.943853182621998
16,3.990234375,1.55859375,1919.921875,2588.8671875,,100.0,25.43,3.8945712037765543,11.735500000000002,6.30376613019887
17,4.416015625,1.55859375,2287.109375,2588.8671875,,100.0,25.41,3.931691818903892,11.996400000000001,6.474791915068341
18,4.916015625,4.55859375,1787.109375,4838.8671875,,100.0,26.32,3.9552536955653212,14.6744,7.060402643967941
19,4.416015625,1.55859375,1919.921875,4709.9609375,,100.0,26.740000000000002,3.706476974915762,13.041099999999998,7.026861577280616
20,4.416015625,2.98828125,1919.921875,2588.8671875,,100.0,24.62,4.037520391517129,12.152499999999998,6.883693713509785
21,3.990234375,2.98828125,2287.109375,4709.9609375,,100.0,25.830000000000002,3.8976377952755903,11.7543,6.887422771570178
22,4.990234375,3.55859375,2919.921875,4088.8671875,,100.0,22.240000000000002,4.641350210970463,10.2711,5.4700418063883545
23,3.416015625,3.55859375,2919.921875,4088.8671875,,100.0,30.09,3.42916522341531,12.426000000000002,7.173265320168727
24,3.416015625,4.98828125,2919.921875,4088.8671875,,100.0,28.810000000000002,3.5243859024563897,12.3376,7.097143844355612
25,3.416015625,3.55859375,2919.921875,3209.9609375,,100.0,26.080000000000002,3.822393822393822,11.3169,6.306945617349339
26,3.291015625,2.30859375,1794.921875,4651.3671875,,100.0,27.72,3.6437246963562755,12.7807,7.169228612548905
27,4.990234375,4.98828125,1287.109375,3209.9609375,,100.0,28.91,3.4579112818721622,13.748,8.042178206371101
28,3.615234375,2.30859375,1794.921875,4651.3671875,,100.0,27.71,3.629032258064516,12.351400000000002,7.021191015257117
29,3.416015625,3.55859375,1287.109375,4088.8671875,,100.0,41.07,2.473145141144142,23.407600000000006,10.726024720418572
30,3.291015625,2.30859375,1794.921875,2647.4609375,,100.0,28.05,3.6490969406561002,12.0677,6.658743148157265
31,3.291015625,2.30859375,2912.109375,4651.3671875,,100.0,28.32,3.6830357142857144,12.8759,6.949392545940671
32,3.291015625,4.23828125,1794.921875,4651.3671875,,100.0,28.63,3.577882182869534,12.976600000000003,7.058187626130136
33,4.291015625,2.23828125,2794.921875,3151.3671875,,100.0,21.61,4.810495626822158,10.142600000000002,5.484974815555011
34,4.291015625,4.30859375,2794.921875,3151.3671875,,100.0,22.85,4.475587703435805,10.5628,5.776008212311238
35,4.615234375,4.30859375,2794.921875,3151.3671875,,100.0,21.94,4.643527204502814,10.4781,5.72996072315412
36,3.615234375,4.23828125,2912.109375,2647.4609375,,100.0,25.32,3.956834532374101,12.177299999999997,6.319160034803245
37,4.791015625,1.30859375,1294.921875,3901.3671875,,100.0,28.5,3.5420393559928445,14.805700000000002,7.872858664135572
38,4.615234375,2.23828125,1912.109375,4147.4609375,,100.0,26.12,3.8854003139717426,12.862400000000001,6.637929444723808
39,4.291015625,4.30859375,1912.109375,3151.3671875,,100.0,25.78,3.9068666140489343,11.558799999999998,6.523069903787402
40,4.291015625,4.30859375,2794.921875,4147.4609375,,100.0,24.85,4.090909090909091,10.862099999999998,5.808020976775709
41,4.115234375,1.30859375,1294.921875,3901.3671875,,100.0,29.51,3.4161490683229814,14.501899999999996,9.112708153391553
42,4.791015625,1.30859375,2412.109375,3901.3671875,,100.0,22.830000000000002,4.481665912177455,10.7606,5.618206662362119
43,4.791015625,1.23828125,1294.921875,3901.3671875,,100.0,31.38,3.2300163132137034,15.8374,9.029585560475043
44,4.115234375,1.23828125,2412.109375,4897.4609375,,100.0,26.12,3.9239001189060643,11.774099999999999,6.358420821511765
45,4.791015625,1.30859375,1294.921875,4897.4609375,,100.0,30.22,3.3616298811544993,14.999399999999998,7.70035835713396
46,3.791015625,3.30859375,2294.921875,2401.3671875,,100.0,24.95,4.039167686658507,10.041100000000002,5.8540363171080685
47,3.791015625,3.23828125,2294.921875,2401.3671875,,100.0,22.44,4.537121906507791,10.5364,5.776233178930171
48,3.115234375,3.30859375,2294.921875,2401.3671875,,100.0,25.05,4.082474226804123,11.5636,6.288180755363289
49,3.541015625,1.80859375,2544.921875,2026.3671875,,100.0,23.63,4.311846689895471,10.666000000000002,6.240263527198902
50,3.791015625,3.30859375,2294.921875,3397.4609375,,100.0,23.82,4.24892703862661,10.666400000000001,5.8566395922176495
51,3.791015625,3.30859375,1412.109375,2401.3671875,,100.0,29.87,3.4386939909690866,15.732800000000003,8.111845694147329
52,3.365234375,1.80859375,2544.921875,2026.3671875,,100.0,25.69,4.001616814874697,11.4347,6.386119963790157
53,3.115234375,3.23828125,1412.109375,3397.4609375,,100.0,29.41,3.4834623504574243,13.448000000000002,7.669578103313655
54,3.541015625,1.80859375,2162.109375,2026.3671875,,100.0,23.14,4.372791519434629,10.534,5.93781801912814
55,3.541015625,1.80859375,2544.921875,4522.4609375,,100.0,27.240000000000002,3.734439834024896,11.7311,6.899162135485524
56,3.541015625,4.73828125,2544.921875,2026.3671875,,100.0,25.07,4.06070549630845,10.831100000000001,6.147964415523682
57,3.365234375,4.73828125,2162.109375,4522.4609375,,100.0,27.92,3.64104450165502,12.569400000000003,7.097190341781369
58,4.541015625,3.80859375,1544.921875,3526.3671875,,100.0,27.47,3.654485049833887,14.075500000000002,7.45287204825608
59,4.365234375,3.80859375,1544.921875,3526.3671875,,100.0,23.79,4.2471042471042475,11.7172,6.417588533542688
60,4.541015625,2.73828125,1544.921875,3526.3671875,,100.0,29.38,3.4470752089136494,15.4189,7.900070437609523
61,4.041015625,2.80859375,2044.921875,2776.3671875,,100.0,23.8,4.295010845986985,10.6575,5.951515616321033
62,4.541015625,3.80859375,1162.109375,3526.3671875,,100.0,29.84,3.4126163391933817,14.5601,8.552822854343342
63,4.541015625,3.80859375,1544.921875,3022.4609375,,100.0,27.580000000000002,3.610503282275711,14.564299999999998,8.065606273278876
64,4.365234375,2.73828125,1162.109375,3022.4609375,,100.0,34.31,2.9359430604982206,17.6444,9.982162608545021
65,4.041015625,1.73828125,2044.921875,2776.3671875,,100.0,22.37,4.5664206642066425,10.320599999999999,5.670423856033225
