,max_speed,vision,soc_strength,obs_strength,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time
0,4.005859375,1.26171875,1908.203125,3473.6328125,,100.0,23.900000000000002,4.143993302637087,10.711300000000001,6.185001842188796
1,3.005859375,2.00390625,2908.203125,4727.5390625,,100.0,29.46,3.4603285564487942,12.901,7.500942365038966
2,3.916015625,2.00390625,2908.203125,4973.6328125,,100.0,26.51,3.819444444444444,11.6924,6.772607948511594
3,3.005859375,2.00390625,2908.203125,4973.6328125,,100.0,31.3,3.21011673151751,13.423599999999999,7.976823817925416
4,3.005859375,2.00390625,2228.515625,4973.6328125,,100.0,33.3,3.045216856351892,14.2826,7.875192685794033
5,4.916015625,1.26171875,1228.515625,3227.5390625,,100.0,29.72,3.4055727554179565,17.027400000000004,7.6799737767860385
6,4.505859375,1.00390625,2408.203125,4223.6328125,,100.0,23.81,4.194915254237289,10.9472,6.075243534213259
7,4.505859375,1.00390625,2728.515625,4223.6328125,,100.0,24.42,4.163162321278385,10.549300000000002,5.957208561774957
8,4.416015625,1.00390625,2408.203125,4223.6328125,,100.0,24.47,4.178978471929084,11.9396,6.302365103593245
9,3.916015625,3.26171875,2228.515625,4727.5390625,,100.0,26.53,3.861154446177847,11.7526,6.538410615259443
10,3.005859375,3.26171875,2908.203125,4973.6328125,,100.0,29.95,3.3525228581103965,12.328400000000002,7.474559643121851
11,4.916015625,4.00390625,1908.203125,3473.6328125,,100.0,22.0,4.65444287729196,10.581699999999998,5.642454522670435
12,4.505859375,1.00390625,2408.203125,2477.5390625,,100.0,22.240000000000002,4.641350210970463,10.4108,5.438361064760878
13,4.005859375,4.00390625,1908.203125,3473.6328125,,100.0,23.85,4.287570376786488,11.224499999999999,5.977012593717245
14,4.416015625,2.26171875,2728.515625,2477.5390625,,100.0,23.84,4.342105263157895,10.9273,5.815783097778325
15,4.505859375,2.26171875,2408.203125,4223.6328125,,100.0,22.96,4.489795918367347,10.418299999999999,5.470425362480019
16,4.005859375,4.00390625,1228.515625,3473.6328125,,100.0,31.57,3.2038834951456314,15.074000000000002,8.993489227482764
17,3.755859375,1.50390625,1658.203125,2348.6328125,,100.0,27.75,3.6065573770491803,12.9145,7.179882863201385
18,4.005859375,4.00390625,1908.203125,3227.5390625,,100.0,25.82,3.953674121405751,12.036999999999999,6.491557298646925
19,3.505859375,3.00390625,1728.515625,2723.6328125,,100.0,25.490000000000002,4.029304029304029,11.1896,6.639668654261584
20,3.755859375,1.50390625,2978.515625,2348.6328125,,100.0,22.69,4.5123062898814945,10.460500000000001,5.7691114759746345
21,3.166015625,1.50390625,1658.203125,2348.6328125,,100.0,29.44,3.4785664089950807,14.257100000000003,8.065351670302825
22,3.416015625,3.00390625,1408.203125,2723.6328125,,100.0,25.330000000000002,3.9887187751813054,12.4092,6.764960328222498
23,3.755859375,1.50390625,1658.203125,2102.5390625,,100.0,25.52,4.024390243902439,12.3675,6.611879785123842
24,3.505859375,3.00390625,1408.203125,3977.5390625,,100.0,31.34,3.261943986820428,14.8605,7.864795151672914
25,4.755859375,1.76171875,2658.203125,3848.6328125,,100.0,23.16,4.405874499332444,10.6615,5.827866074284651
26,3.505859375,3.00390625,1408.203125,2723.6328125,,100.0,34.25,2.9927448609431684,17.7967,9.01121703402728
27,4.755859375,3.50390625,2658.203125,3602.5390625,,100.0,23.05,4.481665912177456,10.2996,5.351661673411976
28,4.755859375,3.50390625,2658.203125,3848.6328125,,100.0,25.59,3.9270130900436335,12.020399999999997,6.901427157340779
29,3.416015625,4.26171875,1728.515625,3977.5390625,,100.0,28.810000000000002,3.6383682469680263,14.460799999999999,7.372894485268937
30,3.505859375,4.26171875,1408.203125,2723.6328125,,100.0,30.82,3.2748924909030763,15.545700000000002,8.128504683761916
31,3.755859375,3.76171875,1658.203125,2348.6328125,,100.0,27.09,3.740083112958066,13.246599999999995,6.791176869492302
32,3.166015625,3.76171875,2978.515625,2102.5390625,,100.0,26.2,3.871724677356277,11.996200000000002,6.526272124144368
33,4.166015625,3.50390625,2658.203125,3848.6328125,,100.0,24.53,4.210974053594215,11.4927,5.851569392354102
34,4.755859375,3.50390625,1978.515625,3848.6328125,,100.0,23.830000000000002,4.238013698630136,10.341,6.148674243240972
35,4.166015625,1.76171875,1978.515625,3602.5390625,,100.0,27.8,3.6585365853658534,13.553099999999997,6.9095762408618695
36,4.666015625,2.50390625,1158.203125,3098.6328125,,100.0,31.29,3.195610071013557,15.4768,9.042067775490608
37,4.255859375,2.50390625,2478.515625,3098.6328125,,100.0,23.02,4.4634806131650135,11.184499999999998,6.025249125156737
38,4.666015625,2.76171875,2478.515625,4352.5390625,,100.0,23.56,4.386353566681436,10.741999999999997,5.917627493473643
39,4.255859375,2.50390625,1158.203125,3098.6328125,,100.0,34.54,2.922077922077922,17.3662,9.926611797475399
40,3.380859375,1.25390625,1033.203125,3661.1328125,,100.0,31.26,3.2748924909030763,14.742600000000003,8.762716199439486
41,3.255859375,4.76171875,2158.203125,4598.6328125,,100.0,27.61,3.7037037037037037,11.673300000000001,6.797449470428618
42,4.255859375,2.76171875,1158.203125,3098.6328125,,100.0,34.27,2.9774436090225564,17.3159,9.53638043007255
43,3.255859375,4.50390625,2158.203125,4598.6328125,,100.0,30.02,3.42916522341531,13.0843,7.5842155670627385
44,3.255859375,4.50390625,2158.203125,2852.5390625,,100.0,25.490000000000002,3.958416633346661,11.282400000000003,6.459077414809723
45,4.255859375,2.50390625,1158.203125,4352.5390625,,100.0,38.33,2.6778469028942387,19.806,11.142742621604123
46,3.666015625,4.50390625,2158.203125,4598.6328125,,100.0,27.92,3.6558345642540617,12.2215,7.242821367646475
47,3.380859375,1.25390625,2853.515625,3661.1328125,,100.0,25.310000000000002,4.0507364975450075,11.0746,6.287761147055782
48,4.791015625,1.25390625,1033.203125,3661.1328125,,100.0,30.51,3.323262839879154,15.744200000000001,8.076646241172787
49,3.255859375,4.50390625,1478.515625,4598.6328125,,100.0,29.66,3.3985581874356336,13.2719,7.414814912856503
50,3.380859375,1.25390625,1033.203125,2290.0390625,,100.0,32.37,3.067864889990704,16.9234,9.01063448253106
51,4.380859375,2.01171875,2033.203125,2161.1328125,,100.0,23.35,4.378593542680229,11.500499999999999,6.523374192746103
52,3.666015625,4.76171875,1478.515625,2852.5390625,,100.0,27.490000000000002,3.7274096385542164,12.9812,7.290516640738769
53,4.380859375,3.25390625,1853.515625,2161.1328125,,100.0,27.25,3.7204058624577225,13.1802,7.765503356759198
54,3.791015625,3.25390625,2033.203125,2161.1328125,,100.0,24.41,4.245283018867925,11.587800000000001,6.391780956664567
55,3.791015625,2.01171875,1853.515625,3790.0390625,,100.0,24.77,4.097682119205298,11.0453,6.390122658123127
56,4.791015625,4.01171875,2853.515625,2290.0390625,,100.0,23.28,4.429530201342281,10.535,5.746335239687004
57,4.380859375,3.25390625,2033.203125,2161.1328125,,100.0,23.05,4.334500875656743,11.3452,6.243472466860445
58,3.291015625,1.01171875,2353.515625,4540.0390625,,100.0,28.86,3.540772532188841,12.018299999999996,7.203387538533731
59,4.880859375,1.01171875,1533.203125,4411.1328125,,100.0,27.810000000000002,3.6680251945164875,12.693999999999999,7.421692610996579
60,4.380859375,3.25390625,2033.203125,3790.0390625,,100.0,24.69,4.193138500635324,11.989600000000001,6.350170906790978
61,3.291015625,2.25390625,1533.203125,4411.1328125,,100.0,31.71,3.1289506953223767,14.6101,8.924380576643271
62,4.880859375,2.25390625,2353.515625,4411.1328125,,100.0,23.84,4.345917471466199,11.2502,5.816988005363726
63,4.880859375,2.25390625,1533.203125,4411.1328125,,100.0,30.89,3.282493368700265,15.754700000000003,9.105602610425622
64,3.380859375,4.01171875,1033.203125,3661.1328125,,100.0,37.11,2.7027027027027026,18.778299999999998,11.04273480756932
65,4.880859375,2.25390625,1533.203125,4540.0390625,,100.0,29.86,3.4315424610051997,15.378900000000003,8.653638914037577
66,3.880859375,3.01171875,2533.203125,2911.1328125,,100.0,25.72,3.983903420523139,11.481,6.295087149692387
