,strategy_weights,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time,vision,population,strategies
0,"(0.1, 0.9)",2,90.5,49.61,3.640040444893832,22.280110497237573,14.50508060374212,2,200,"('nearest exit', 'follow the leader')"
27,"(0.6, 0.4)",2,100.0,45.4,4.452897739986574,22.128650000000004,12.432505323570266,2,200,"('nearest exit', 'follow the leader')"
28,"(0.6, 0.4)",2,99.5,49.28,4.037520391517129,24.242763819095476,13.251747698707499,2,200,"('nearest exit', 'follow the leader')"
29,"(0.7, 0.30000000000000004)",2,100.0,46.87,4.302702702702702,23.2386,12.353676523945877,2,200,"('nearest exit', 'follow the leader')"
30,"(0.6, 0.4)",2,100.0,52.56,3.8283955367449014,28.1598,13.082786302895732,2,200,"('nearest exit', 'follow the leader')"
31,"(0.7, 0.30000000000000004)",2,100.0,43.75,4.591601292108906,21.56535,11.743924800769573,2,200,"('nearest exit', 'follow the leader')"
32,"(0.7, 0.30000000000000004)",2,100.0,48.300000000000004,4.178039051018265,22.5796,12.897497705965174,2,200,"('nearest exit', 'follow the leader')"
33,"(0.7, 0.30000000000000004)",2,100.0,44.35,4.488046910239062,21.762249999999998,12.556126512683464,2,200,"('nearest exit', 'follow the leader')"
34,"(0.7, 0.30000000000000004)",2,100.0,44.85,4.497175141242938,21.950599999999998,11.847152601524938,2,200,"('nearest exit', 'follow the leader')"
35,"(0.8, 0.19999999999999996)",2,100.0,44.87,4.489059327769005,21.988000000000003,12.087327015178307,2,200,"('nearest exit', 'follow the leader')"
36,"(0.8, 0.19999999999999996)",2,100.0,45.09,4.473920863309352,21.098450000000003,11.995233395753205,2,200,"('nearest exit', 'follow the leader')"
37,"(0.8, 0.19999999999999996)",2,100.0,48.550000000000004,4.156223893065998,24.502450000000003,12.727706828137388,2,200,"('nearest exit', 'follow the leader')"
38,"(0.8, 0.19999999999999996)",2,100.0,46.71,4.261241970021413,22.866300000000003,12.83003892449357,2,200,"('nearest exit', 'follow the leader')"
39,"(0.8, 0.19999999999999996)",2,100.0,50.77,3.9959839357429714,23.11005,14.11895139306381,2,200,"('nearest exit', 'follow the leader')"
